Wavelength (nm),Reflectance (%
1606,0.912683314
1607,0.909579935
1608,0.909688707
1609,0.907667967
1610,0.905625643
1611,0.907193724
1612,0.914520061
1613,0.905076989
1614,0.909658998
1615,0.910812058
1616,0.910176926
1617,0.90698142
1618,0.909356374
1619,0.904487294
1620,0.909951531
1621,0.908651695
1622,0.907171307
1623,0.907767821
1624,0.908991663
1625,0.906329358
1626,0.910136621
1627,0.909134501
1628,0.906037751
1629,0.907093152
1630,0.906131389
1631,0.909214068
1632,0.908382707
1633,0.908517229
1634,0.908277923
1635,0.908189549
1636,0.907162615
1637,0.911121121
1638,0.907995451
1639,0.908022711
1640,0.909317761
1641,0.909056011
1642,0.906597987
1643,0.911930013
1644,0.908536291
1645,0.908008904
1646,0.908521497
1647,0.911921078
1648,0.912472781
1649,0.910832708
1650,0.911169997
1651,0.910998843
1652,0.910052617
1653,0.912564497
1654,0.904856826
1655,0.908685623
1656,0.908545185
1657,0.906375748
1658,0.909786446
1659,0.910245093
1660,0.908904188
1661,0.908430619
1662,0.907985399
1663,0.911856778
1664,0.907925157
1665,0.910028595
1666,0.908869525
1667,0.905694042
1668,0.911524569
1669,0.90768116
1670,0.906427516
1671,0.908192658
1672,0.906656388
1673,0.911593599
1674,0.908749194
1675,0.908195718
1676,0.906977233
1677,0.907658558
1678,0.907043779
1679,0.911166873
1680,0.906717841
1681,0.907204891
1682,0.9035851
1683,0.905401213
1684,0.910167934
1685,0.904038894
1686,0.909292057
1687,0.905363773
1688,0.908374107
1689,0.911893039
1690,0.909160821
1691,0.911036064
1692,0.902291826
1693,0.903589354
1694,0.911436229
1695,0.906220321
1696,0.907129278
1697,0.904768255
1698,0.906003566
1699,0.91077529
1700,0.90906858
1701,0.911030614
1702,0.90805464
1703,0.904611696
1704,0.907537552
1705,0.908109724
1706,0.907497448
1707,0.906038053
1708,0.907076198
1709,0.908835569
1710,0.903902752
1711,0.904777876
1712,0.903598167
1713,0.905485374
1714,0.907276366
1715,0.903964603
1716,0.90537868
1717,0.904880135
1718,0.905980244
1719,0.90815285
1720,0.903890753
1721,0.910206133
1722,0.907818608
1723,0.908204056
1724,0.908392504
1725,0.911492264
1726,0.909211311
1727,0.912417748
1728,0.909529264
1729,0.907817325
1730,0.910457067
1731,0.911270339
1732,0.908558565
1733,0.908656374
1734,0.90569508
1735,0.909269454
1736,0.906020828
1737,0.908877815
1738,0.907693744
1739,0.907789267
1740,0.90963053
1741,0.906681769
1742,0.909142352
1743,0.911520453
1744,0.905389998
1745,0.905771569
1746,0.907851894
1747,0.909577466
1748,0.907479775
1749,0.908093578
1750,0.9055298
1751,0.908059007
1752,0.910470178
1753,0.90216692
1754,0.906470055
1755,0.910724922
1756,0.914255844
1757,0.910289544
1758,0.910495384
1759,0.908344432
1760,0.9115489
1761,0.908414883
1762,0.906532255
1763,0.907976195
1764,0.913144581
1765,0.914050081
1766,0.909408746
1767,0.913361933
1768,0.905106202
1769,0.911675012
1770,0.910201389
1771,0.91055039
1772,0.913099168
1773,0.912209023
1774,0.91351475
1775,0.910671315
1776,0.909075574
1777,0.911041527
1778,0.909630997
1779,0.907814695
1780,0.912704763
1781,0.911793355
1782,0.910798048
1783,0.906461407
1784,0.909021149
1785,0.908550352
1786,0.910932034
1787,0.912492662
1788,0.907687745
1789,0.912338639
1790,0.907312792
1791,0.914908676
1792,0.908268906
1793,0.913060878
1794,0.910108122
1795,0.914150526
1796,0.911778768
1797,0.912870328
1798,0.911557515
1799,0.910215654
1800,0.909658405
1801,0.909086741
1802,0.908285104
1803,0.906519044
1804,0.91211926
1805,0.912509422
